UF,massasalarial_total_pct,massasalarial_industria_pct,massasalarial_comercio_pct,massasalarial_servico_pct,massasalarial_total,massasalarial_industria,massasalarial_comercio,massasalarial_servico,empregos_total,empregos_industria,empregos_comercio,empregos_servico,empregos_total_pct,empregos_industria_pct,empregos_comercio_pct,empregos_servico_pct,pib_total,pib_industria,pib_comercio,pib_servico,pib_total_pct,pib_industria_pct,pib_comercio_pct,pib_servico_pct
ac,"16,90%","3,19%","7,10%","6,61%","76,34","14,43","32,05","29,86",43363,9347,19306,14710,"30,43%","6,56%","13,55%","10,32%","1,89","0,40","1,06","0,43","39,70%","8,38%","22,21%","9,11%"
al,"21,94%","3,70%","7,46%","10,78%","272,58","46,02","92,69","133,86",166604,30231,63329,73044,"31,86%","5,78%","12,11%","13,97%","7,20","1,14","3,43","2,63","36,40%","5,75%","17,34%","13,31%"
ap,"12,97%","1,76%","5,65%","5,57%","60,46","8,18","26,32","25,96",34805,4654,16718,13433,"27,69%","3,70%","13,30%","10,69%","1,64","0,29","0,97","0,38","32,10%","5,75%","18,96%","7,39%"
am,"14,77%","2,68%","5,49%","6,60%","284,44","51,59","105,75","127,10",149293,24871,63217,61205,"22,84%","3,80%","9,67%","9,36%","11,31","3,18","4,71","3,41","22,20%","6,25%","9,25%","6,70%"
ba,"24,88%","4,97%","8,91%","11,00%","1.494,03","298,27","535,01","660,75",861199,173184,344985,343030,"36,60%","7,36%","14,66%","14,58%","43,41","9,05","19,34","15,02","31,00%","6,46%","13,81%","10,73%"
ce,"21,53%","4,35%","7,19%","9,99%","810,75","163,77","270,75","376,23",496380,110252,180887,205241,"32,47%","7,21%","11,83%","13,42%","23,91","4,77","11,42","7,71","32,30%","6,44%","15,44%","10,42%"
df,"11,56%","1,29%","3,49%","6,78%","684,81","76,68","206,76","401,37",315648,41143,110786,163719,"29,10%","3,79%","10,22%","15,10%","19,01","2,24","6,64","10,13","31,00%","3,65%","10,83%","16,52%"
es,"31,26%","7,31%","10,63%","13,31%","774,81","181,27","263,56","329,98",406822,101692,147166,157964,"43,19%","10,80%","15,62%","16,77%","23,08","5,86","9,40","7,82","35,60%","9,04%","14,50%","12,06%"
go,"31,18%","8,79%","9,98%","12,41%","1.353,49","381,39","433,37","538,73",691812,195565,235246,261001,"43,64%","12,34%","14,84%","16,47%","34,35","7,90","15,27","11,18","35,50%","8,17%","15,78%","11,55%"
ma,"19,79%","3,54%","8,07%","8,17%","415,08","74,33","169,32","171,43",237887,44029,107478,86380,"29,05%","5,38%","13,12%","10,55%","11,11","1,70","5,66","3,75","29,00%","4,44%","14,77%","9,79%"
mt,"35,96%","12,07%","12,76%","11,13%","1.003,78","336,96","356,11","310,71",459456,149957,167921,141578,"49,97%","16,31%","18,26%","15,40%","26,16","4,39","14,84","6,93","44,90%","7,54%","25,47%","11,90%"
ms,"30,34%","9,15%","10,19%","11,01%","621,90","187,58","208,76","225,57",306483,94490,105153,106840,"43,79%","13,50%","15,02%","15,26%","15,00","2,69","7,04","5,27","34,90%","6,26%","16,38%","12,27%"
mg,"28,59%","7,44%","8,97%","12,17%","3.916,61","1.020,01","1.228,62","1.667,98",2152476,595915,732802,823759,"41,81%","11,57%","14,23%","16,00%","108,84","29,01","40,51","39,33","34,30%","9,14%","12,76%","12,39%"
pa,"20,31%","4,13%","7,82%","8,35%","668,88","136,06","257,68","275,13",359637,77677,148111,133849,"30,81%","6,66%","12,69%","11,47%","16,33","4,79","7,59","3,94","23,10%","6,78%","10,74%","5,58%"
pb,"21,99%","3,96%","7,76%","10,27%","353,72","63,66","124,81","165,26",218390,43275,82807,92308,"32,29%","6,40%","12,24%","13,65%","10,17","1,84","4,52","3,82","38,30%","6,92%","17,01%","14,37%"
pr,"32,31%","8,23%","11,17%","12,91%","3.055,22","778,30","1.056,10","1.220,83",1408986,374886,503182,530918,"43,25%","11,51%","15,45%","16,30%","83,12","20,38","34,94","27,80","37,20%","9,12%","15,64%","12,44%"
pe,"23,16%","4,19%","8,01%","10,96%","989,60","179,11","342,38","468,10",572599,113587,215849,243163,"34,43%","6,83%","12,98%","14,62%","25,36","7,10","12,66","5,60","33,90%","9,49%","16,92%","7,49%"
pi,"22,55%","4,55%","8,52%","9,47%","261,87","52,90","99,01","109,97",162681,34121,68623,59937,"35,39%","7,42%","14,93%","13,04%","6,56","1,19","3,38","1,98","35,10%","6,38%","18,12%","10,60%"
rj,"21,69%","2,88%","6,55%","12,27%","3.013,07","399,88","909,19","1.704,01",1445137,186420,510121,748596,"36,69%","4,73%","12,95%","19,01%","94,42","17,49","33,29","43,64","24,50%","4,54%","8,64%","11,32%"
rn,"22,98%","4,72%","7,85%","10,40%","368,12","75,70","125,74","166,69",223134,48791,83781,90562,"36,24%","7,93%","13,61%","14,71%","11,26","2,72","5,17","3,36","36,50%","8,84%","16,77%","10,89%"
rs,"32,20%","8,74%","10,48%","12,99%","2.902,99","787,66","944,36","1.170,97",1306252,362698,456518,487036,"44,12%","12,25%","15,42%","16,45%","82,46","19,93","35,42","27,11","36,80%","8,89%","15,81%","12,10%"
ro,"34,94%","7,44%","14,83%","12,67%","282,03","60,07","119,67","102,29",151797,33891,66399,51507,"48,60%","10,85%","21,26%","16,49%","5,66","1,00","3,20","1,45","31,90%","5,64%","18,07%","8,19%"
rr,"15,18%","2,59%","6,33%","6,26%","55,30","9,43","23,05","22,82",31388,5508,14407,11473,"28,22%","4,95%","12,96%","10,32%","1,71","0,32","0,94","0,44","44,20%","8,35%","24,45%","11,40%"
sc,"34,65%","10,46%","10,80%","13,38%","2.493,48","752,91","777,46","963,11",1118158,352785,356962,408411,"44,65%","14,09%","14,25%","16,31%","63,70","18,61","24,76","20,33","41,60%","12,15%","16,17%","13,28%"
sp,"25,85%","5,62%","8,18%","12,06%","12.490,25","2.713,08","3.951,36","5.825,81",5099037,1163987,1774696,2160354,"36,82%","8,41%","12,82%","15,60%","343,03","81,53","126,69","134,81","32,40%","7,70%","11,97%","12,73%"
se,"21,76%","3,73%","7,41%","10,61%","228,58","39,21","77,89","111,49",139682,26589,51010,62083,"35,63%","6,78%","13,01%","15,83%","5,46","0,94","2,46","2,06","29,20%","5,03%","13,17%","11,00%"
to,"25,19%","7,23%","9,20%","8,77%","221,17","63,45","80,74","76,99",114924,33594,43674,37656,"38,82%","11,35%","14,75%","12,72%","5,87","1,14","3,53","1,20","41,70%","8,09%","25,12%","8,50%"
brasil,"26,08%","6,00%","8,50%","11,60%","39.153,37","8.951,89","12.818,48","17.382,99",18674030,4433139,6671134,7569757,"38,32%","9,10%","13,69%","15,53%","998,72","219,35","347,36","432,01","29,50%","6,50%","10,30%","12,70%"
