pib-comercio,2014-01-02,314.624.861
pib-comercio,2015-01-02,322.345.416
pib-comercio,2016-01-02,328.303.276
pib-comercio,2017-01-02,347.362.514
pib-industria,2014-01-02,215.938.236
pib-industria,2015-01-02,214.496.815
pib-industria,2016-01-02,218.404.368
pib-industria,2017-01-02,219.346.428
pib-servicos,2014-01-02,360.935.332
pib-servicos,2015-01-02,388.153.323
pib-servicos,2016-01-02,420.147.604
pib-servicos,2017-01-02,432.007.941
total,2014-01-02,3.032.307.578
total,2015-01-02,3.234.250.189
total,2016-01-02,3.222.850.827
total,2017-01-02,3.385.480.959
