NAR_CRE_Bases_Narrativas_Credito_Juros_TAB_A[ANO],NAR_CRE_Bases_Narrativas_Credito_Juros_TAB_A[TRIMESTRE],[Microempresas],[Pequenas Empresas],[Todas as Empresas],[SELIC],[IPCA]
2012,1° Trim.2012,41.5,32.8,18.49,9.82,5.24
2012,2° Trim.2012,38.7,30.5,16.04,8.39,4.92
2012,3° Trim.2012,31.3,28.8,15.17,7.39,5.28
2012,4° Trim.2012,29,26.9,13.82,7.16,5.84
2013,1° Trim.2013,36.7,32.7,14.65,7.15,6.59
2013,2° Trim.2013,23.7,25.9,14.73,7.9,6.7
2013,3° Trim.2013,22,26,15.27,8.9,5.86
2013,4° Trim.2013,17,25.8,15.64,9.9,5.91
2014,1° Trim.2014,24.5,26.7,16.53,10.65,6.15
2014,2° Trim.2014,27.2,27,16.37,10.9,6.52
2014,3° Trim.2014,30,27.9,16.46,10.9,6.75
2014,4° Trim.2014,30.7,27.4,16.6,11.58,6.41
2015,1° Trim.2015,36.3,30.8,18.2,12.58,8.13
2015,2° Trim.2015,38.5,32.9,19.19,13.58,8.89
2015,3° Trim.2015,42.2,36.1,20.73,14.15,9.49
2015,4° Trim.2015,44.3,37.6,20.77,14.15,10.67
2016,1° Trim.2016,49.3,40.2,22.21,14.15,9.39
2016,2° Trim.2016,51.8,41.9,21.68,14.15,8.84
2016,3° Trim.2016,56.9,44.2,21.48,14.15,8.48
2016,4° Trim.2016,52.8,43.8,20.29,13.65,6.29
2017,1° Trim.2017,56,45.4,20.32,12.15,4.57
2017,2° Trim.2017,54.8,44.5,18.89,10.15,3
2017,3° Trim.2017,55.1,44.4,17.62,8.35,2.54
2017,4° Trim.2017,50.1,43.1,16.96,7,2.95
2018,1° Trim.2018,52.3,43.5,16.55,6.58,2.68
2018,2° Trim.2018,49.6,42.3,15.59,6.4,4.39
2018,3° Trim.2018,50,41.8,15.83,6.4,4.53
2018,4° Trim.2018,44.8,41,14.87,6.4,3.75
2019,1° Trim.2019,51.8,42.2,15.94,6.4,4.58
2019,2° Trim.2019,49.5,41.6,15.07,6.4,3.37
2019,3° Trim.2019,48.7,39.5,14.18,5.71,2.89
2019,4° Trim.2019,41.2,37,13.54,4.59,4.31
2020,1° Trim.2020,46.1,37.9,13.8,3.95,3.3
2020,2° Trim.2020,37.8,29.8,10.93,2.58,2.13
2020,3° Trim.2020,34.4,24.2,10.08,1.9,3.14
2020,4° Trim.2020,35.1,22.4,11.25,1.9,4.52
2021,1° Trim.2021,32.6,24.9,12.32,2.23,6.1
2021,2° Trim.2021,35.7,25.8,12.94,3.76,8.35
2021,3° Trim.2021,36.6,27.4,15.12,5.43,10.25
2021,4° Trim.2021,35.9,29.9,17.56,8.76,10.06
2022,1° Trim.2022,38.5,32.7,19,11.15,11.3
2022,2° Trim.2022,36.8,34.8,19.87,12.89,11.89
2022,3° Trim.2022,36.8,35.3,19.46,13.65,7.17
2022,4° Trim.2022,36.2,34.9,20.22,13.65,5.78
