NAR_MEI_Geral_Forma[ANO],NAR_MEI_Geral_Forma[FORMALIZAÇÃO],[%]
2013,Empregado(a) com carteira,37.2
2015,Empregado(a) com carteira,42.2
2017,Empregado(a) com carteira,44.2
2019,Empregado(a) com carteira,46.6
2022,Empregado(a) com carteira,52
2013,Empregado(a) sem carteira,21.1
2015,Empregado(a) sem carteira,16.8
2017,Empregado(a) sem carteira,14.5
2019,Empregado(a) sem carteira,13.1
2022,Empregado(a) sem carteira,16.7
2013,Empreendedor informal (sem CNPJ),25.3
2015,Empreendedor informal (sem CNPJ),23.6
2017,Empreendedor informal (sem CNPJ),24.6
2019,Empreendedor informal (sem CNPJ),22.8
2022,Empreendedor informal (sem CNPJ),16.5
2013,Outros,16.3
2015,Outros,17.3
2017,Outros,16.7
2019,Outros,17.5
2022,Outros,14.8
