NAR_MEI_Geral_Regional[ESTADOS],NAR_MEI_Geral_Regional[ANO],[HORAS],[HORAS COM CNPJ],[HORAS SEM CNPJ]
ACRE,2021,36.64,40.27,36.2
ALAGOAS,2021,36.52,42.31,35.3
AMAPA,2021,40.22,40.73,40.16
AMAZONAS,2021,35.54,42.91,35.09
BAHIA,2021,35.69,43.23,34.28
CEARA,2021,35.63,43.69,34.31
DISTRITO FEDERAL,2021,38,42.48,36.63
ESPIRITO SANTO,2021,39.25,42.33,38.01
GOIAS,2021,38.52,42.44,37.13
MARANHAO,2021,35.34,44.64,34.72
MATO GROSSO,2021,39.49,43.36,38.34
MATO GROSSO DO SUL,2021,38.68,42.55,37.3
MINAS GERAIS,2021,39.15,41.97,38.1
PARA,2021,34.96,39.5,34.61
PARAIBA,2021,35.27,42.77,34.04
PARANA,2021,39.91,42.73,38.42
PERNAMBUCO,2021,37.89,43.56,37.12
PIAUI,2021,33.27,41.46,32.08
RIO DE JANEIRO,2021,37.96,41.55,36.77
RIO GRANDE DO NORTE,2021,35.29,39.51,34.24
RIO GRANDE DO SUL,2021,40.06,43.52,37.86
RONDONIA,2021,37.43,40.93,36.79
RORAIMA,2021,37.24,41.88,36.54
SANTA CATARINA,2021,41.36,42.96,40.43
SAO PAULO,2021,38.71,42.94,36.42
SERGIPE,2021,35.43,39.65,34.81
TOCANTINS,2021,36.54,41.97,35.28
BRASIL,2021,37.93,42.61,36.39
