NAR_MPE_Massa Salarial_MPE_Setor[Ano],NAR_MPE_Massa Salarial_MPE_Setor[SETOR],[PERCENTUAL]
2002,Indústria,0.06442449986934662
2003,Indústria,0.0655655488371849
2004,Indústria,0.0654153823852539
2005,Indústria,0.06412182748317719
2006,Indústria,0.06429930031299591
2007,Indústria,0.06307069957256317
2008,Indústria,0.06338047981262207
2009,Indústria,0.06344931572675705
2010,Indústria,0.06311531364917755
2011,Indústria,0.06352876126766205
2012,Indústria,0.06348548829555511
2013,Indústria,0.06326671689748764
2014,Indústria,0.06358139216899872
2015,Indústria,0.06316953152418137
2016,Indústria,0.06308905780315399
2017,Indústria,0.06123965233564377
2018,Indústria,0.060029711574316025
2019,Indústria,0.05915508791804314
2020,Indústria,0.057797931134700775
2021,Indústria,0.05962351709604263
2002,Comércio,0.07245879620313644
2003,Comércio,0.07592537254095078
2004,Comércio,0.07747888565063477
2005,Comércio,0.07795032113790512
2006,Comércio,0.0767202153801918
2007,Comércio,0.07693178951740265
2008,Comércio,0.07802967727184296
2009,Comércio,0.07907970994710922
2010,Comércio,0.08036923408508301
2011,Comércio,0.08076249808073044
2012,Comércio,0.08290939778089523
2013,Comércio,0.08356855064630508
2014,Comércio,0.08473865687847137
2015,Comércio,0.08608394116163254
2016,Comércio,0.0889783501625061
2017,Comércio,0.0884503424167633
2018,Comércio,0.08703767508268356
2019,Comércio,0.08626051992177963
2020,Comércio,0.0824878141283989
2021,Comércio,0.08537102490663528
2002,Serviços,0.11077723652124405
2003,Serviços,0.11087233573198318
2004,Serviços,0.10802654922008514
2005,Serviços,0.10626383870840073
2006,Serviços,0.10216843336820602
2007,Serviços,0.09932845830917358
2008,Serviços,0.0988638624548912
2009,Serviços,0.09972546249628067
2010,Serviços,0.10050968825817108
2011,Serviços,0.10193199664354324
2012,Serviços,0.10468142479658127
2013,Serviços,0.10641893744468689
2014,Serviços,0.1086120456457138
2015,Serviços,0.11464667320251465
2016,Serviços,0.11822473257780075
2017,Serviços,0.11865667253732681
2018,Serviços,0.11916574090719223
2019,Serviços,0.12059678137302399
2020,Serviços,0.11227059364318848
2021,Serviços,0.11577069014310837
