NAR_MPE_Sondagem_MPE_Percepção[ANO],NAR_MPE_Sondagem_MPE_Percepção[ANO MÊS],NAR_MPE_Sondagem_MPE_Percepção[PERCEPÇÃO],[GERAL],[MAXIMODEMPE],[MAXIMODEINDUSTRIA],[MAXIMODESERVICOS],[MAXIMODECOMERCIO]
2010,2010/01,SITUAÇÃO ATUAL,108.7,106,107.1,108,
2010,2010/02,SITUAÇÃO ATUAL,110,105.7,107.1,107.5,
2010,2010/03,SITUAÇÃO ATUAL,113.1,109.6,113.7,111.5,107.1
2010,2010/04,SITUAÇÃO ATUAL,113.3,109.4,111.9,111,105.4
2010,2010/05,SITUAÇÃO ATUAL,114.1,111.6,113.5,112,109.3
2010,2010/06,SITUAÇÃO ATUAL,113.1,111.8,111.3,113.9,109.6
2010,2010/07,SITUAÇÃO ATUAL,111.9,115.5,119.6,111.6,111.7
2010,2010/08,SITUAÇÃO ATUAL,113,113.6,113,114.3,107.6
2010,2010/09,SITUAÇÃO ATUAL,113.7,114.5,114.3,110.8,111.6
2010,2010/10,SITUAÇÃO ATUAL,113.9,116.1,118.9,113,113
2010,2010/11,SITUAÇÃO ATUAL,114.1,116,118.8,111,111.8
2010,2010/12,SITUAÇÃO ATUAL,115.6,113.7,113.7,112.9,110.8
2011,2011/01,SITUAÇÃO ATUAL,109.2,111.7,115.2,111.7,103.3
2011,2011/02,SITUAÇÃO ATUAL,110.3,111.6,113.9,111.6,106.9
2011,2011/03,SITUAÇÃO ATUAL,108.9,109.7,116.4,109.1,101.7
2011,2011/04,SITUAÇÃO ATUAL,110.3,109.2,109.8,112.2,107.4
2011,2011/05,SITUAÇÃO ATUAL,108.8,110,110.7,110.6,107.6
2011,2011/06,SITUAÇÃO ATUAL,108.5,110.7,111.6,108.8,110.4
2011,2011/07,SITUAÇÃO ATUAL,107.8,105.8,102,109.1,109.6
2011,2011/08,SITUAÇÃO ATUAL,105.3,105.4,99.5,107.7,107.5
2011,2011/09,SITUAÇÃO ATUAL,104.8,104,99.3,108.3,101.7
2011,2011/10,SITUAÇÃO ATUAL,104.8,103.2,102.4,105.2,103.6
2011,2011/11,SITUAÇÃO ATUAL,103.8,102.1,98.7,104.7,102.7
2011,2011/12,SITUAÇÃO ATUAL,104.3,105.2,104.6,104,106.6
2012,2012/01,SITUAÇÃO ATUAL,102.3,102,100.3,104.4,100.6
2012,2012/02,SITUAÇÃO ATUAL,102.7,103.1,101.3,105.4,102.2
2012,2012/03,SITUAÇÃO ATUAL,103.6,104.8,105.3,105.2,108.7
2012,2012/04,SITUAÇÃO ATUAL,102.1,105.1,105.8,103.6,107.5
2012,2012/05,SITUAÇÃO ATUAL,101.6,100.1,95.4,103.6,103.8
2012,2012/06,SITUAÇÃO ATUAL,101.7,101,98.3,104.3,103
2012,2012/07,SITUAÇÃO ATUAL,101.8,102.5,103.4,102.5,100.6
2012,2012/08,SITUAÇÃO ATUAL,103.4,101,98.3,102.1,100.9
2012,2012/09,SITUAÇÃO ATUAL,104.1,102.5,98.6,103.4,106.8
2012,2012/10,SITUAÇÃO ATUAL,104.6,102.4,101.7,102.4,102.1
2012,2012/11,SITUAÇÃO ATUAL,104.8,102.2,96.9,104.3,107
2012,2012/12,SITUAÇÃO ATUAL,104,101.8,102.6,100.7,104.1
2013,2013/01,SITUAÇÃO ATUAL,103.8,101.4,100.8,100.3,102.8
2013,2013/02,SITUAÇÃO ATUAL,102.9,101.3,99.8,100.7,104.9
2013,2013/03,SITUAÇÃO ATUAL,102.5,99.3,99.2,100.6,103.7
2013,2013/04,SITUAÇÃO ATUAL,102.2,98.8,95.3,100.3,104.1
2013,2013/05,SITUAÇÃO ATUAL,103.6,102.1,101,103.2,103.1
2013,2013/06,SITUAÇÃO ATUAL,102.7,102.7,105.4,100.7,101.7
2013,2013/07,SITUAÇÃO ATUAL,100.9,100.8,102.1,100.1,98.9
2013,2013/08,SITUAÇÃO ATUAL,102.1,100.4,98.4,99,105.1
2013,2013/09,SITUAÇÃO ATUAL,101.6,102.2,101.6,100.2,101.7
2013,2013/10,SITUAÇÃO ATUAL,100.9,101,99.1,101.1,101.5
2013,2013/11,SITUAÇÃO ATUAL,100,101,100.8,99.2,101.5
2013,2013/12,SITUAÇÃO ATUAL,99.9,99.1,97.7,100.2,100
2014,2014/01,SITUAÇÃO ATUAL,97.4,98.1,96.2,98.2,99.2
2014,2014/02,SITUAÇÃO ATUAL,97.5,97.8,98.9,98,98.5
2014,2014/03,SITUAÇÃO ATUAL,97.4,97.3,97,97.8,99.5
2014,2014/04,SITUAÇÃO ATUAL,96.7,97.3,100.5,95,98.4
2014,2014/05,SITUAÇÃO ATUAL,93.3,96.2,99.7,93.5,96.8
2014,2014/06,SITUAÇÃO ATUAL,92.5,91.9,90.7,93.3,94.8
2014,2014/07,SITUAÇÃO ATUAL,90.2,88.6,85.5,90.4,91.7
2014,2014/08,SITUAÇÃO ATUAL,88.9,92.6,95.6,91.6,90.8
2014,2014/09,SITUAÇÃO ATUAL,87.9,87.9,82.9,89.6,93.1
2014,2014/10,SITUAÇÃO ATUAL,87.3,91.7,92.5,87.8,95.9
2014,2014/11,SITUAÇÃO ATUAL,87.1,88,89.9,86,88
2014,2014/12,SITUAÇÃO ATUAL,86.4,86.4,87.7,85.1,86.4
2015,2015/01,SITUAÇÃO ATUAL,84.7,83.9,83.5,83.4,85.6
2015,2015/02,SITUAÇÃO ATUAL,82.2,82.3,85.1,81.3,81.2
2015,2015/03,SITUAÇÃO ATUAL,77.4,79.1,85.1,79.4,74.1
2015,2015/04,SITUAÇÃO ATUAL,76.2,77.1,81.4,78.3,73.7
2015,2015/05,SITUAÇÃO ATUAL,75,73.6,77.9,74.6,70.8
2015,2015/06,SITUAÇÃO ATUAL,73,73.6,78.1,73.2,70.1
2015,2015/07,SITUAÇÃO ATUAL,72.4,73.2,75.8,72.1,72.7
2015,2015/08,SITUAÇÃO ATUAL,69.9,70.9,77.4,69.8,68.9
2015,2015/09,SITUAÇÃO ATUAL,69.3,70.2,76.7,68.3,66.9
2015,2015/10,SITUAÇÃO ATUAL,67.6,65.8,72.7,66.2,59.9
2015,2015/11,SITUAÇÃO ATUAL,68.3,66.2,69.2,66.2,66.5
2015,2015/12,SITUAÇÃO ATUAL,68.4,66.8,68.8,66.8,67.3
2016,2016/01,SITUAÇÃO ATUAL,69.7,68.2,68.7,68,70.5
2016,2016/02,SITUAÇÃO ATUAL,69.1,69.7,75.4,68.1,66.3
2016,2016/03,SITUAÇÃO ATUAL,70.6,70.9,78.3,68,70
2016,2016/04,SITUAÇÃO ATUAL,70.1,70.7,82.5,67.8,63
2016,2016/05,SITUAÇÃO ATUAL,70.8,72.5,83.3,68.4,67.3
2016,2016/06,SITUAÇÃO ATUAL,72.6,71.8,78.6,67.6,70.4
2016,2016/07,SITUAÇÃO ATUAL,74.6,74.3,83.2,69.3,71.6
2016,2016/08,SITUAÇÃO ATUAL,75.9,75.6,82.9,71.1,74.5
2016,2016/09,SITUAÇÃO ATUAL,76,74.8,84,69.7,71.6
2016,2016/10,SITUAÇÃO ATUAL,75.7,73.7,79,70.1,74.6
2016,2016/11,SITUAÇÃO ATUAL,75.3,76,86.2,71.5,70.5
2016,2016/12,SITUAÇÃO ATUAL,74.7,74,83.1,70.7,68.9
2017,2017/01,SITUAÇÃO ATUAL,76.3,75,81.5,72.8,71.8
2017,2017/02,SITUAÇÃO ATUAL,77.2,75.2,81.7,71.8,74.9
2017,2017/03,SITUAÇÃO ATUAL,78.6,75.8,81.4,72.2,76.8
2017,2017/04,SITUAÇÃO ATUAL,80.3,76.6,82.1,74.3,79
2017,2017/05,SITUAÇÃO ATUAL,81.8,78.6,82.6,75.1,80.2
2017,2017/06,SITUAÇÃO ATUAL,82.3,80.8,87.3,76.9,80.2
2017,2017/07,SITUAÇÃO ATUAL,82.6,80,85.5,76.8,80.2
2017,2017/08,SITUAÇÃO ATUAL,83.8,81.1,86.3,78.3,80.2
2017,2017/09,SITUAÇÃO ATUAL,86.1,81.4,83.3,79.2,84.8
2017,2017/10,SITUAÇÃO ATUAL,88.7,83.6,85.3,82,83.7
2017,2017/11,SITUAÇÃO ATUAL,89.3,82.6,85.8,82.3,80.2
2017,2017/12,SITUAÇÃO ATUAL,90,83.2,88.3,82.3,80.4
2018,2018/01,SITUAÇÃO ATUAL,90.5,86.5,94.2,83.1,85
2018,2018/02,SITUAÇÃO ATUAL,91.1,84.7,86.1,84,85.1
2018,2018/03,SITUAÇÃO ATUAL,92,85.1,86.1,84.2,87.6
2018,2018/04,SITUAÇÃO ATUAL,91.8,88.6,94.7,84.3,88.2
2018,2018/05,SITUAÇÃO ATUAL,91.7,86.8,89.2,85.4,86.5
2018,2018/06,SITUAÇÃO ATUAL,90.3,86,90.4,83.1,86.1
2018,2018/07,SITUAÇÃO ATUAL,91.4,86.5,88.3,86.2,86.6
2018,2018/08,SITUAÇÃO ATUAL,91.1,84.2,86.2,83.6,84.5
2018,2018/09,SITUAÇÃO ATUAL,90.5,85.6,89.6,85.3,84.6
2018,2018/10,SITUAÇÃO ATUAL,89.9,85.3,86.6,84.5,85.6
2018,2018/11,SITUAÇÃO ATUAL,92,87,86.4,85.5,91.3
2018,2018/12,SITUAÇÃO ATUAL,93.1,88.9,88.4,87.2,93.8
2019,2019/01,SITUAÇÃO ATUAL,92.6,90.6,97.1,87.2,91.9
2019,2019/02,SITUAÇÃO ATUAL,92.8,89.6,93.4,88.1,91
2019,2019/03,SITUAÇÃO ATUAL,91.5,89.4,93.3,88.1,86.2
2019,2019/04,SITUAÇÃO ATUAL,91.6,86.8,83.9,88.1,89.5
2019,2019/05,SITUAÇÃO ATUAL,90.7,86.9,85.1,87.3,88.8
2019,2019/06,SITUAÇÃO ATUAL,90.6,87.1,86.3,89.6,86.2
2019,2019/07,SITUAÇÃO ATUAL,90.9,88.4,89,89,86.4
2019,2019/08,SITUAÇÃO ATUAL,92.4,89.1,89.5,89.3,89.3
2019,2019/09,SITUAÇÃO ATUAL,92.9,89.9,92.9,90.4,86.8
2019,2019/10,SITUAÇÃO ATUAL,94.2,90.6,90.6,90.7,90.1
2019,2019/11,SITUAÇÃO ATUAL,94.9,90.4,90.2,90.7,90.5
2019,2019/12,SITUAÇÃO ATUAL,97,91.2,92.1,91,91.9
2020,2020/01,SITUAÇÃO ATUAL,95.1,90.2,92.6,91.4,90.8
2020,2020/02,SITUAÇÃO ATUAL,93.7,91.4,96.2,90.6,89.9
2020,2020/03,SITUAÇÃO ATUAL,91.4,90.4,95.2,84.8,94.8
2020,2020/04,SITUAÇÃO ATUAL,59.2,56.1,62.6,54.7,55.6
2020,2020/05,SITUAÇÃO ATUAL,62,59.1,67.2,56,58.2
2020,2020/06,SITUAÇÃO ATUAL,71.6,71.2,85,62,72
2020,2020/07,SITUAÇÃO ATUAL,79.6,80.4,99.2,67,79.6
2020,2020/08,SITUAÇÃO ATUAL,88.8,89.9,106.1,75.6,90.8
2020,2020/09,SITUAÇÃO ATUAL,93.6,97.8,114.2,78,104.8
2020,2020/10,SITUAÇÃO ATUAL,97.3,102.1,121.8,81.6,101.2
2020,2020/11,SITUAÇÃO ATUAL,99.4,102.1,126.3,79.1,98.3
2020,2020/12,SITUAÇÃO ATUAL,99.8,98.7,119,79.7,93.2
2021,2021/01,SITUAÇÃO ATUAL,95.6,90,108.7,78.6,87.6
2021,2021/02,SITUAÇÃO ATUAL,93,90.6,110,77.7,85.7
2021,2021/03,SITUAÇÃO ATUAL,87.7,82.7,101.8,72.5,75.1
2021,2021/04,SITUAÇÃO ATUAL,88.1,84,100.6,74.7,76.9
2021,2021/05,SITUAÇÃO ATUAL,94.3,89,97.1,82.4,89.2
2021,2021/06,SITUAÇÃO ATUAL,98.5,95.9,104.6,88.2,98.9
2021,2021/07,SITUAÇÃO ATUAL,100.3,99.5,108.9,90.5,104.8
2021,2021/08,SITUAÇÃO ATUAL,101,98.9,104.1,92.8,100.7
2021,2021/09,SITUAÇÃO ATUAL,99.8,95.8,98.2,91.8,98.6
2021,2021/10,SITUAÇÃO ATUAL,100.2,97.7,97.4,97.4,95.2
2021,2021/11,SITUAÇÃO ATUAL,97.6,93.5,93.3,92.9,89.1
